ID,LANGUAGE_ID,ACRONYM,LABEL
GP1006,DE,UEN,Fraktion Union für das Europa der Nationen
GP1006,EL,UEN,Ομάδα Έvωση για τηv Ευρώπη τωv Εθvώv
GP1006,ET,UEN,Fraktsioon Liit Rahvusriikide Euroopa eest
GP1006,FI,UEN,Unioni kansakuntien Euroopan puolesta -ryhmä
GP1006,FR,UEN,Groupe Union pour l'Europe des Nations
GP1006,GA,UEN,An Grúpa d'Aontas d'Eoraip na Náisiún
GP1006,HR,UEN,Klub zastupnika Unija za Europu naroda
GP1006,HU,UEN,a Nemzetek Európájáért Unió Képviselőcsoportja
GP1006,IT,UEN,Gruppo 'Unione per l'Europa delle nazioni'
GP1006,LV,UEN,Nāciju Eiropas grupa
GP1006,LT,UEN,Sąjungos už tautų Europą frakcija
GP1006,MT,UEN,Grupp ta' l-Unjoni għal Ewropa tan-Nazzjonijiet
GP1006,NL,UEN,Fractie Unie voor een Europa van Nationale Staten
GP1006,PL,UEN,Grupa Unii na rzecz Europy Narodów
GP1006,PT,UEN,Grupo União para a Europa das Nações
GP1006,RO,UEN,Grupul Uniunea pentru Europa Națiunilor
GP1006,SK,UEN,Skupina Únie za Európu národov
GP1006,SL,UEN,Skupina združenje za Evropo narodov
GP1006,SV,UEN,Gruppen Unionen för nationernas Europa
GP1007,EN,IND/DEM,Independence/Democracy Group
GP1007,ES,IND/DEM,Grupo Independencia/Democracia
GP1007,BG,IND/DEM,Група Независимост/Демокрация
GP1007,CS,IND/DEM,Skupina Nezávislost/Demokracie
GP1007,DA,IND/DEM,Gruppen for Selvstændighed/Demokrati
GP1007,DE,IND/DEM,Fraktion Unabhängigkeit/Demokratie
GP1007,EL,IND/DEM,Ομάδα Ανεξαρτησία/Δημοκρατία
GP1007,ET,IND/DEM,Fraktsioon Iseseisvus/Demokraatia
GP1007,FI,IND/DEM,Itsenäisyys/Demokratia -ryhmä
GP1007,FR,IND/DEM,Groupe Indépendance/Démocratie
GP1007,GA,IND/DEM,Grúpa an Neamhspleáchais/an Daonlathais
GP1007,HR,IND/DEM,Klub zastupnika Neovisnost/demokracija
GP1007,HU,IND/DEM,Függetlenség/Demokrácia Képviselőcsoport
GP1007,IT,IND/DEM,Gruppo Indipendenza/Democrazia
GP1007,LV,IND/DEM,Neatkarības/Demokrātijas grupa
GP1007,LT,IND/DEM,Nepriklausomybės/Demokratijos frakcija
